timestamp,frame_id,track_id,class_name,confidence,x1,y1,x2,y2,zone
2026-05-08T11:44:41.546053,11,1,person,0.499,163,200,554,479,
2026-05-08T11:44:42.284005,12,1,person,0.574,128,199,525,479,
2026-05-08T11:44:42.689417,13,1,person,0.6,159,199,556,479,
2026-05-08T11:44:43.037340,14,1,person,0.636,109,198,515,479,
2026-05-08T11:44:43.381883,15,1,person,0.753,145,199,558,479,
2026-05-08T11:44:43.823659,16,1,person,0.436,40,68,638,478,
2026-05-08T11:44:44.182187,17,1,person,0.788,19,19,680,478,
2026-05-08T11:44:44.526914,18,1,person,0.703,4,-2,682,477,
2026-05-08T11:44:44.917668,19,1,cat,0.462,0,-10,681,477,
2026-05-08T11:44:45.387929,20,1,person,0.91,8,-12,683,477,
2026-05-08T11:44:45.744818,21,1,person,0.795,19,-12,684,478,
2026-05-08T11:44:46.091029,22,1,person,0.742,28,-11,681,478,
2026-05-08T11:44:46.435438,23,1,person,0.838,38,-10,680,478,
2026-05-08T11:44:46.792124,24,1,cat,0.654,70,24,660,478,
2026-05-08T11:44:47.152519,25,1,person,0.426,99,72,628,478,
2026-05-08T11:44:47.542156,26,1,cat,0.573,111,98,609,478,
